ISSUERTRADINGSYMBOL,RPTOWNERNAME,RPTOWNER_RELATIONSHIP,TRANS_DATE,TRANS_CODE,TRANS_SHARES,TRANS_PRICEPERSHARE,TransactionValue,alpha,beta,CAR
TSLA,DENHOLM ROBYN M,Director,2022-02-01,S,300.0,920.85,276255.0,-0.0006075682757842,1.775063877472258,-0.033471522845915945
TSLA,DENHOLM ROBYN M,Director,2022-02-01,S,600.0,922.3,553380.0,-0.0006075682757842,1.775063877472258,-0.033471522845915945
TSLA,DENHOLM ROBYN M,Director,2022-02-01,S,400.0,923.82,369528.0,-0.0006075682757842,1.775063877472258,-0.033471522845915945
TSLA,DENHOLM ROBYN M,Director,2022-02-01,S,800.0,925.05,740040.0,-0.0006075682757842,1.775063877472258,-0.033471522845915945
TSLA,DENHOLM ROBYN M,Director,2022-02-01,S,600.0,926.48,555888.0,-0.0006075682757842,1.775063877472258,-0.033471522845915945
TSLA,DENHOLM ROBYN M,Director,2022-02-01,S,100.0,929.89,92989.0,-0.0006075682757842,1.775063877472258,-0.033471522845915945
AAPL,LEVINSON ARTHUR D,Director,2022-02-01,S,1986.0,173.29,344153.94,4.66336296137195e-05,1.3687082559964163,0.046910824471973034
PG,Taylor David S,"Director,Officer",2022-02-02,S,30095.0,162.0,4875390.0,0.0007822335108924,0.3266020871873396,-0.024946920085527072
V,HOFFMEISTER JAMES H,Officer,2022-02-01,S,1737.0,231.49,402098.13,-0.000547902617371,1.045170076401493,0.1066503735445253
PG,Taylor David S,"Director,Officer",2022-01-31,S,25000.0,160.01,4000250.0,0.00084533778139,0.3124124911339531,-0.02932949550570836
PG,Moeller Jon R,"Director,Officer",2022-01-31,S,59156.0,160.01,9465551.56,0.00084533778139,0.3124124911339531,-0.02932949550570836
PG,Moeller Jon R,"Director,Officer",2022-01-31,S,20857.0,160.01,3337328.57,0.00084533778139,0.3124124911339531,-0.02932949550570836
PG,Moeller Jon R,"Director,Officer",2022-01-31,S,25607.0,160.01,4097376.07,0.00084533778139,0.3124124911339531,-0.02932949550570836
MSFT,Walmsley Emma N,Director,2022-01-28,P,1700.0,295.48,502316.00000000006,0.0004573922305036,1.1318557081878808,0.005947627121419297
MSFT,Walmsley Emma N,Director,2022-01-31,P,1600.0,311.53,498448.0,0.0004164337705771,1.1616169812961032,-0.009267294710831655
ADBE,Rao Dana,Officer,2022-01-28,S,5300.0,507.25,2688425.0,5.263675562563664e-05,1.3803255238520595,0.0019728980509395094
V,KELLY ALFRED F JR,"Director,Officer",2022-01-31,S,9000.0,224.9,2024100.0,-0.0005764092082285,1.0448746445367012,0.08960729576233753
TSLA,Baglino Andrew D,Officer,2022-01-27,S,3500.0,933.56,3267460.0,-0.000469454326673,1.830089748064683,-0.07026747958363116
MA,McLaughlin Edward Grunde,Officer,2022-01-28,S,1008.0,361.33,364220.64,-0.0008447212539346,1.3069808991625198,0.057135859860937666
MA,McLaughlin Edward Grunde,Officer,2022-01-28,S,14302.0,360.18,5151294.36,-0.0008447212539346,1.3069808991625198,0.057135859860937666
MA,Arkell Sandra A,Officer,2022-01-28,S,872.0,375.0,327000.0,-0.0008447212539346,1.3069808991625198,0.057135859860937666
MA,Vosburg Craig,Officer,2022-01-28,S,5684.0,365.0,2074660.0,-0.0008447212539346,1.3069808991625198,0.057135859860937666
BAC,Sieg Andrew M.,Officer,2022-01-28,S,18407.0,45.12,830523.84,0.0010023860513917,0.9084354080489428,0.03969337992028405
PG,Moeller Jon R,"Director,Officer",2022-01-28,S,130878.0,160.58,21016389.24,0.000737505880225,0.3176544968165766,-0.012099506050586531
PG,Moeller Jon R,"Director,Officer",2022-01-28,S,150393.0,160.58,24150107.94,0.000737505880225,0.3176544968165766,-0.012099506050586531
VZ,Vestberg Hans Erik,"Director,Officer",2022-01-26,P,19000.0,52.55,998450.0,-0.0005096289719519,0.2666699160868342,0.012848970764047219
ADBE,Lewnes Ann,Officer,2022-01-25,S,140.0,503.92,70548.8,0.0003090724765725,1.3417829387144244,0.06178431994947546
ADBE,Lewnes Ann,Officer,2022-01-25,S,778.0,504.92,392827.76,0.0003090724765725,1.3417829387144244,0.06178431994947546
ADBE,Lewnes Ann,Officer,2022-01-25,S,2691.0,506.08,1361861.28,0.0003090724765725,1.3417829387144244,0.06178431994947546
ADBE,Lewnes Ann,Officer,2022-01-25,S,2290.0,507.06,1161167.4,0.0003090724765725,1.3417829387144244,0.06178431994947546
ADBE,Lewnes Ann,Officer,2022-01-25,S,1765.0,508.09,896778.85,0.0003090724765725,1.3417829387144244,0.06178431994947546
ADBE,Lewnes Ann,Officer,2022-01-25,S,640.0,509.24,325913.6,0.0003090724765725,1.3417829387144244,0.06178431994947546
ADBE,Lewnes Ann,Officer,2022-01-25,S,600.0,510.41,306246.0,0.0003090724765725,1.3417829387144244,0.06178431994947546
ADBE,Lewnes Ann,Officer,2022-01-25,S,700.0,511.2,357840.0,0.0003090724765725,1.3417829387144244,0.06178431994947546
ADBE,Lewnes Ann,Officer,2022-01-25,S,100.0,511.96,51196.0,0.0003090724765725,1.3417829387144244,0.06178431994947546
ADBE,Lewnes Ann,Officer,2022-01-25,S,300.0,513.21,153963.0,0.0003090724765725,1.3417829387144244,0.06178431994947546
UNH,BURKE RICHARD T,Director,2022-01-20,S,5000.0,469.41,2347050.0,0.0008430814034369,0.6500730746801797,0.03041941679148223
